,0
0,94.454994
1,32.170914
2,103.48294
3,70.5088
4,140.1165
5,70.461975
6,7.105662
7,73.08247
8,88.434715
9,16.243462
10,94.82386
11,134.22469
12,14.449725
13,49.145943
14,37.70643
15,109.25524
16,78.24415
17,124.84328
18,-6.349979
19,83.30424
20,67.93078
21,44.393547
22,91.54132
23,89.68543
24,52.501804
25,37.472843
26,9.135891
27,76.461395
28,140.13675
29,46.182533
30,60.532288
31,50.701054
32,100.197105
33,126.853386
34,122.10193
35,61.256382
36,81.08774
37,58.62283
38,77.24036
39,43.22567
40,63.241497
41,86.10551
42,127.182106
43,39.988796
44,-16.664482
45,101.397095
46,131.5237
47,57.025524
48,68.23593
49,178.77196
50,41.47025
51,-33.39543
52,175.35896
53,96.15383
54,-7.440368
55,0.44743854
56,159.19788
57,17.7491
58,77.54661
59,9.955027
60,51.465023
61,76.59962
62,19.165478
63,81.04747
64,33.33556
65,59.972168
66,55.401047
67,-4.034774
68,73.93111
69,99.87995
70,105.41279
71,58.91245
72,149.50294
73,97.36823
74,60.115784
75,23.68932
76,54.4781
77,81.978966
78,-0.8395356
79,73.67491
80,15.18022
81,75.94575
82,107.59431
83,144.76802
84,24.95066
85,37.277763
86,144.19994
87,7.5626445
88,136.62881
89,178.6056
90,-12.596196
91,119.84839
92,159.50401
93,64.71685
94,94.59936
95,37.183247
96,74.0303
97,149.83965
98,16.388536
99,71.029144
100,-11.3184395
101,139.12012
102,142.21342
103,93.85451
104,49.40308
105,81.11118
106,21.586159
107,117.43331
108,60.835403
109,-2.0829418
110,40.64385
111,-32.333534
112,47.073227
113,-3.1431513
114,66.38768
115,62.130688
116,135.58073
117,32.320724
118,238.50758
119,14.335461
120,58.62572
121,100.948074
122,21.963833
123,88.81346
124,131.56761
125,-21.377981
126,94.81717
127,17.409897
128,95.05352
129,134.17587
130,147.4247
131,60.060555
132,46.707687
133,57.02136
134,63.076725
135,-5.398698
136,57.701565
137,121.746956
138,36.011448
139,79.57683
140,82.40615
141,103.552925
142,95.67829
143,22.5149
144,15.917341
145,62.170662
146,135.30309
147,115.75239
148,34.338963
149,53.615913
150,40.62937
151,85.154945
152,127.629005
153,115.29941
154,33.959763
155,102.51507
156,10.0482855
157,32.629345
158,125.1265
159,65.84857
160,82.94574
161,32.67627
162,58.430878
163,118.21777
164,155.81787
165,-6.6743584
166,86.2539
167,200.12161
168,95.54442
169,16.617987
170,119.05973
171,87.18544
172,199.04236
173,58.2668
174,48.933357
175,126.07703
176,185.14638
177,87.203636
178,16.292164
179,127.81076
180,59.632534
181,59.836838
182,114.86575
183,136.2948
184,104.392136
185,65.22923
186,114.543915
187,-2.259848
188,77.51846
189,56.58264
190,65.02306
191,24.34912
192,74.29355
193,73.6079
194,24.742086
195,65.29019
196,49.075928
197,75.77835
198,88.60719
199,10.272002
200,116.22966
201,139.2952
202,18.194992
203,111.93492
204,114.38606
205,32.46293
206,43.040646
207,2.4625778
208,107.80494
209,126.20542
210,151.28708
211,73.6603
212,87.230606
213,15.639047
214,53.99605
215,80.13695
216,78.79305
217,36.007294
218,47.916275
219,84.700424
220,-1.4180101
221,37.831112
222,100.82036
223,128.07933
224,168.90938
225,85.56846
226,109.333
227,14.798229
228,53.469734
229,167.98474
230,16.636097
231,83.01043
232,-3.3939762
233,44.99085
234,129.1815
235,91.2204
236,123.90868
237,20.589619
238,1.1733837
239,44.077877
240,76.38757
241,15.805866
242,113.63821
243,130.72403
244,46.507607
245,90.091705
246,40.82045
247,4.2914686
248,123.963104
249,148.12723
250,270.7476
251,14.246823
252,51.412903
253,31.501303
254,134.73056
255,140.48804
256,108.10648
257,65.827446
258,55.90495
259,90.015144
260,86.52581
261,103.58751
262,-21.081339
263,141.776
264,54.09535
265,147.95198
266,307.047
267,64.741974
268,28.153706
269,37.507053
270,165.47408
271,171.27316
272,117.93105
273,111.068085
274,87.34938
275,79.81489
276,5.670407
277,97.39899
278,55.612274
279,84.966644
280,180.82011
281,165.95311
282,73.1013
283,156.90111
284,141.26239
285,51.701817
286,55.019382
287,54.50717
288,83.66462
289,-35.345196
290,2.9983761
291,29.398903
292,68.223915
293,200.79832
294,112.132225
295,122.21904
296,97.86409
297,115.188805
298,53.686768
299,106.247505
300,14.916914
301,-31.55813
302,48.016903
303,6.328151
304,36.35346
305,62.187107
306,107.58177
307,193.48894
308,55.17088
309,55.190506
310,119.50729
311,12.242215
312,248.44505
313,26.500095
314,40.111588
315,51.57838
316,82.01589
317,93.478294
318,23.927855
319,127.34669
320,88.103195
321,51.958057
322,53.620552
323,45.596516
324,-5.560722
325,48.035454
326,74.356674
327,198.06284
328,117.56565
329,176.25285
330,-15.255559
331,100.23521
332,34.35429
333,64.44715
334,104.7573
335,131.80698
336,-5.767391
337,49.996376
338,64.66164
339,33.450912
340,42.519646
341,82.93971
342,80.8617
343,20.22877
344,54.327675
345,63.00249
346,188.31105
347,123.01949
348,132.82196
349,67.34425
350,80.48777
351,84.66284
352,24.758781
353,23.353882
354,77.66154
355,21.376648
356,39.822
357,164.53134
358,-25.003244
359,103.24177
360,52.925858
361,67.408806
362,72.334305
363,9.552146
364,28.119732
365,39.1993
366,30.549217
367,104.12284
368,58.12183
369,111.66433
370,98.18454
371,-40.149555
372,94.58951
373,97.78093
374,125.42712
375,76.921364
376,47.084576
377,45.666615
378,44.49047
379,14.705117
380,102.25392
381,51.288445
382,88.212524
383,116.62752
384,30.191622
385,17.918188
386,164.02904
387,34.528114
388,65.1806
389,40.21741
390,65.8848
391,86.26169
392,131.76093
393,-2.7693856
394,64.164085
395,-0.025703982
396,7.351616
397,40.044186
398,13.556548
399,19.16667
400,46.126743
401,209.93538
402,14.58257
403,114.58559
404,39.11168
405,49.429283
406,39.97381
407,198.04532
408,78.70127
409,16.282253
410,130.9944
411,31.536963
412,56.0631
413,107.91316
414,70.10775
415,40.21869
416,38.314575
417,46.084015
418,-27.317282
419,111.98525
420,46.07517
421,-5.17297
422,25.051847
423,7.2108626
424,131.92624
425,15.776149
426,120.170334
427,37.401257
428,48.989796
429,37.410736
430,135.50064
431,79.775
432,21.914364
433,107.68695
434,75.5316
435,149.90292
436,64.62881
437,69.125595
438,51.168434
439,8.731086
440,99.11238
441,70.44707
442,151.9552
443,38.343807
444,57.84296
445,121.38494
446,143.00032
447,80.522675
448,79.76331
449,106.32811
450,143.60338
451,-66.00706
452,50.143547
453,111.350624
454,-10.712968
455,76.23168
456,155.57982
457,105.48032
458,71.67727
459,67.78156
460,30.760988
461,79.95819
462,69.678185
463,194.89761
464,190.64827
465,55.912792
